File,Patch Size (Wp),Phase Shift at 10 GHz
Data.txt,1.0,-18.710385247443014
Data.txt,2.5,-18.844682685267998
Data.txt,4.0,-19.544208238175003
Data.txt,4.3333333333333,-19.890743558753996
Data.txt,4.6666666666667,-20.368016812451003
Data.txt,5.0,-21.03448509082
Data.txt,5.3333333333333,-21.97791355426199
Data.txt,5.6666666666667,-23.358315575424996
Data.txt,6.0,-25.43406878393199
Data.txt,6.3333333333333,-28.860621190912013
Data.txt,6.6666666666667,-35.226974460692986
Data.txt,7.0,-49.480438477836
Data.txt,7.3333333333333,-99.899676312069
Data.txt,7.5,179.6336883848
Data.txt,7.6666666666667,89.89529096940498
Data.txt,8.0,31.283827767982984
Data.txt,8.3333333333333,15.764276716208997
Data.txt,8.6666666666667,9.095487405643212
Data.txt,9.0,5.551015403182106
Data.txt,9.3333333333333,3.4602847310812876
Data.txt,9.6666666666667,2.141898579758589
Data.txt,10.0,1.2978151270760065
Data.txt,10.333333333333,0.7613552334323401
Data1.txt,7.37499975,-114.47844896697
Data1.txt,7.4166665,-132.8695459571
Data1.txt,7.45833325,-155.05984540239
Data1.txt,7.4585,-155.13871146176
Data1.txt,7.4792,-167.36601172386
Data1.txt,7.484375,-170.56265781065
Data1.txt,7.48955,-173.79586393175
Data1.txt,7.494725,-177.09027553645
Data1.txt,7.4999,179.72755121932
Data1.txt,7.5,179.63368837767996
